n_fila,video_id,url_video,titulo_video,medio,canal,fecha_video,vistas_video,likes_video,comentarios_reportados_video,categoria_video,puntaje_politico,razones_politicas,motivo_rechazo_politico,desastre_detectado,personajes_detectados,partidos_detectados,instituciones_detectadas,temas_detectados,comentario_id,autor_anonimo,texto_comentario,likes_comentario,fecha_comentario,total_respuestas,fuente,metodo_extraccion,fecha_extraccion
1,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgyvSBMBZsg25-aeu594AaABAg,usuario_anon_242abae3cc,El señor Elard Juan Bolaños ha tenido la valentía de informar los motivos de su renuncia claramente y estos personajes salen a despotricar y declararse inocentes entrados en pánico me gustaría que se investigue alguien de la prensa sería que lo haga porque el cuello blanco corrupto de Aladino Gálvez no está calificado para hacerlo.,39,2026-06-27T02:00:26Z,1,YouTube,YouTube Data API v3,2026-06-27 20:12:18
2,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,Ugwu-gsR_Gznb-9gejN4AaABAg,usuario_anon_7769f3fac4,"Peritaje al software de la ONPE , se mueren de miedo q los veedores americanos hagan el peritaje.",20,2026-06-27T02:31:22Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
3,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,Ugx1OClNkOJxMrb4Z614AaABAg,usuario_anon_194e686504,Tarde o temprano la verdad sale a la luz,14,2026-06-27T03:33:03Z,1,YouTube,YouTube Data API v3,2026-06-27 20:12:18
4,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgyOwzqsyFULJDNzT6J4AaABAg,usuario_anon_b28508d132,"Rl señor Jesús nos dijo Que todo saldrá a Luz,Que todo será hecho público...Que todo se llegará a saber....",30,2026-06-27T00:48:09Z,1,YouTube,YouTube Data API v3,2026-06-27 20:12:18
5,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgyPAtL6VNJGads6nu14AaABAg,usuario_anon_ad8d1ce7fc,"Bien 👍 👍 👍 X fin un funcionario de la onpe que está denunciando irregulares,",14,2026-06-27T03:56:03Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
6,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgykUHn4WKlOsjoqijJ4AaABAg,usuario_anon_5c335748aa,La ONPE es una institución llena de problemas se debería de hacer una auditoría. Al software del sistema operativo de la ONPE. Urgente,12,2026-06-27T02:45:22Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
7,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgxlfDaKraVL21AkaTZ4AaABAg,usuario_anon_17e7a30a10,"CON ESTA DENUNCIA, CONFIRMA MANIPULACION DE TODO EK PROCESO ELECTORAL, NO HA EXISTIDO TRANSPARENCIA",8,2026-06-27T11:53:46Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
8,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgwO6UE4Apj_AX7Ga3F4AaABAg,usuario_anon_86171c4a2c,Desde antes que se diera la primera vuelta ya todo olía a podrido.,4,2026-06-27T12:12:20Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
9,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgyOI3mtAcMoqtZVK8h4AaABAg,usuario_anon_4ec1280de5,Fraude electoral....,4,2026-06-27T14:12:01Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
10,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgysMOftcuqHJm3ligJ4AaABAg,usuario_anon_1a407aba8c,"Todo el Perú,sabe que las elecciones,son un fraude grosero, vergonzoso,y descarado",31,2026-06-27T02:29:03Z,2,YouTube,YouTube Data API v3,2026-06-27 20:12:18
11,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgwsNH0Z1kTFxutp4z94AaABAg,usuario_anon_bb46369810,"La Onpe esta manejado por el fujimorismo, la contraloria que dice ser el que valida lo eligio este parlamento, el fraude se armo desde el congreso porque todas las instituciones estan manejadas por esta gente.",6,2026-06-27T07:00:46Z,3,YouTube,YouTube Data API v3,2026-06-27 20:12:18
12,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgzwJhjm0VyWQde-zKh4AaABAg,usuario_anon_c05568c726,Sra k dónde estás?seguro tú ordenaste para hacer fraude y te apodere de la presidencia,11,2026-06-27T04:03:12Z,7,YouTube,YouTube Data API v3,2026-06-27 20:12:18
13,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgzqqlwFmEdGbOsSiaZ4AaABAg,usuario_anon_c1b4e89055,URGENTE REVISAR EL SOFTWARE DE LA ONPE PARA ESCLARECER IRREGULARIDADES EN LAS ELECCIONES POR LA KORRUPCION.,2,2026-06-27T14:14:55Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
14,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgzOBi8Ujkvu4HBmhzt4AaABAg,usuario_anon_e8d768c2ba,El pueblo sabe perfectamente del fraude 😡🐀🐀,2,2026-06-27T09:20:35Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
